Date,Chrome for Android,Opera 0,Nokia 0,Android 0,IE 8.0,UC Browser 10.7,IE 6.0,UC Browser 11.0,Firefox 3.6,UC Browser 8.7,UC Browser 10.9,Safari iPhone,NetFront 4.2,UC Browser 2.0,UC Browser 11.3,UC Browser 11.2,UC Browser 9.4,UC Browser 11.4,UC Browser 0,UC Browser 12.9,UC Browser 10.8,UC Browser 9.2,UC Browser 9.5,UC Browser 10.10,UC Browser 11.1,IE 7.0,UC Browser 10.1,UC Browser 10.5,IE 9.0,UC Browser 10.4,UC Browser 10.0,UC Browser 10.6,Chrome 49.0,UC Browser 9.9,Chrome 43.0,Unknown 0,Firefox 3.0,Chrome 31.0,Firefox 3.5,Chrome 47.0,NetFront 3.5,UC Browser 11.5,UC Browser 10.2,Chrome 46.0,UC Browser 12.8,IE 11.0,UC Browser 9.7,Chrome 44.0,UC Browser 12.2,Chrome 48.0,Chrome 45.0,UC Browser 9.3,Chrome 33.0,UC Browser 9.8,Chrome 39.0,UC Browser 12.0,Firefox 4.0,Chrome 23.0,Chrome 35.0,UC Browser 12.5,Chrome 63.0,Chrome 51.0,Chrome 56.0,UC Browser 9.0,Chrome 17.0,Chrome 55.0,Chrome 27.0,Chrome 26.0,Chrome 28.0,Chrome 40.0,UC Browser 7.0,Chrome 16.0,Chrome 21.0,Chrome 58.0,Chrome 29.0,Firefox 12.0,Chrome 18.0,Chrome 71.0,Chrome 36.0,UC Browser 4.2,Chrome 37.0,Chrome 30.0,Chrome 19.0,Chrome 42.0,Chrome 54.0,IE 10.0,Safari iPad,IEMobile 11.0,Chrome 34.0,Chrome 60.0,Chrome 12.0,UC Browser 10.3,UC Browser 9.1,Chrome 41.0,Chrome 32.0,Chrome 61.0,UC Browser 8.6,Chrome 67.0,Chrome 22.0,Dolfin 2.0,Chrome 24.0,Chrome 38.0,Chrome 59.0,Chrome 15.0,Chrome 25.0,UC Browser 9.6,NetFront 0,Chrome 53.0,Chrome 70.0,KaiOS 2.5,NetFront 4.1,Samsung 0,Firefox 11.0,Samsung Internet 3.5,Chrome 5.0,Chrome 50.0,Chrome 52.0,Chrome 10.0,Chrome 8.0,UC Browser 12.10,Chrome 14.0,Chrome 13.0,Chrome 20.0,Chrome 68.0,Firefox 5.0,Chrome 72.0,Samsung Internet 4.0,Chrome 69.0,Chrome 57.0,Chrome 73.0,Firefox 8.0,Firefox 14.0,Firefox 10.0,Chrome 66.0,Chrome 4.0,Chrome 62.0,Chrome 65.0,Chrome 11.0,Opera Mini 32.0,Firefox 16.0,Firefox 6.0,IEMobile 10.0,UC Browser 8.8,Chrome 64.0,Firefox 13.0,KaiOS 2.0,Firefox 15.0,Firefox 38.0,Firefox 9.0,Firefox 26.0,Firefox 31.0,Chrome 6.0,Firefox 47.0,Samsung Internet 3.3,Firefox 7.0,UC Browser 8.0,Firefox 19.0,Firefox 27.0,Firefox 43.0,Chrome 7.0,Firefox 23.0,Firefox 48.0,Opera 12.1,Firefox 22.0,Firefox 25.0,Firefox 21.0,Firefox 17.0,Firefox 24.0,Firefox 20.0,Chrome 9.0,Firefox 18.0,Firefox 40.0,Firefox 39.0,Firefox 35.0,Opera 37.0,Firefox 29.0,Firefox 30.0,Firefox 28.0,Firefox 32.0,BlackBerry 0,UC Browser 8.9,Firefox 37.0,Firefox 2.0,UC Browser 7.9,SonyEricsson 0,Opera Mini 28.0,UC Browser 8.5,Firefox 41.0,Opera Mini 4.5,Firefox 52.0,Firefox 33.0,Tizen 0,Openwave 6.2,Firefox 44.0,Firefox 34.0,UC Browser 8.2,Firefox 42.0,UC Browser 12.11,Firefox 50.0,Chrome 74.0,Firefox 36.0,Samsung Internet 1.1,IEMobile 9.0,Firefox 45.0,Opera Mini 8.0,Chrome 3.0,Chrome for iPhone,Obigo 0,Opera Mini 33.0,UC Browser 8.4,Jasmine 0.8,Opera Mini 30.0,NetFront 3.4,Opera 11.6,Opera Mini 4.4,Opera Mini 31.0,Opera Mini 29.0,Firefox 49.0,mCent 0.13,Firefox 54.0,Opera Mini 36.2,Dolfin 3.0,Firefox 51.0,Safari 5.1,Dolfin 1.5,UC Browser 7.8,Firefox 57.0,Firefox 53.0,Opera 12.0,Samsung Internet 5.4,Opera 11.5,Firefox 46.0,Safari 5.0,Firefox 1.0,Opera Mini 7.5,MeeGo 0,UC Browser 7.7,Chrome for Andr,Opera 12.00,Opera 10.6,Firefox 55.0,Jasmine 1.0,Opera 10.0,Opera Mini 26.0,Chrome 2.0,Firefox 56.0,Edge 14,Opera 11.0,Chrome iPad,Opera 9.6,Firefox 59.0,Firefox 58.0,UC Browser 3.4,Firefox 61.0,UC Browser 8.3,Opera Mini 35.3,Edge 13,Samsung Internet 2.0,Opera 12.10,Opera 11.1,UC Browser 3.2,Android 2.3,Opera 30.0,Opera Mini 27.0,Opera Mini 35.0,Firefox 60.0,Firefox 62.0,Opera 38.0,Opera Mini 35.1,Firefox 66.0,Samsung Internet 7.4,Firefox 64.0,Safari 4.0,Firefox 65.0,Openwave 0,Firefox 63.0,Samsung Internet 6.4,Safari 6.0,Opera 10.1,Safari 8.0,Edge 12,Opera Mini 24.0,Opera Mini 20.0,Opera Mini 7.6,Samsung Internet 1.0,Opera 28.0,Opera Mini 37.1,UC Browser 6.1,Opera 10.5,Edge 17,Opera Mini 4.2,UC Browser 5.6,Opera 32.0,IEMobile 0,Samsung Internet 7.2,Chrome 1.0,Opera 34.0,Samsung Internet 8.2,Safari 7.0,Opera Mini 38.0,Opera Mini 7.1,Edge 15,Opera Mini 21.0,Opera Mini 25.0,Opera 29.0,Samsung Internet 6.2,Bolt 0,Firefox 1.5,Opera 33.0,Samsung Internet 5.2,Opera 26.0,Opera 20.0,Android 2.2,Safari 10.0,Safari 9.1,Safari 10.1,Opera 22.0,Opera 36.2,Opera Mini 11.0,Safari 9.0,Opera Mini 36.1,Dolfin 2.2,LG 0,Opera 18.0,Safari 11.0,Edge 16,Phantom 2.0,Opera 43.0,Safari iPod Touch,Opera Mini 7.7,Maxthon 4.4,UC Browser 3.6,Opera Mini 37.3,iBrowser 2.7,UC Browser 5.7,Mozilla 1.9,Safari 12.0,Opera 24.0,Opera 35.0,Opera Mini 18.0,Opera 21.0,Safari 11.1,Opera 36.0,Samsung Internet 2.1,Opera 37.3,Opera 27.0,Opera 31.0,Samsung Internet 6.3,Opera 19.0
2009-03,0,1.53,0.96,0,1.53,0,40.48,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,16.47,0,0,0,0,0,0,0,0,0,0,23.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.41,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0.09,0,0.1,0,0,0,0,2.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.29,0,0,0,0,0,0,0,0,0,0,0,0.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-04,0,1.49,0.76,0,2.37,0,39.27,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,16.14,0,0,0,0,0,0,0,0,0,0,24.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.99,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26,0,0,0,0,0,0,0,0,0.09,0,0.29,0,0,0,0,2.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.87,0,0,0,0,0,0,0,0,0,0,0,0.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-05,0,1.84,0.72,0,3.32,0,38.44,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,15.38,0,0,0,0,0,0,0,0,0,0,24.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.55,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0.11,0,0.69,0,0,0,0,2.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.45,0,0,0,0,0,0,0,0,0,0,0,0.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0.66,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-06,0,1.83,0.83,0,4.45,0,38.01,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,14.31,0,0,0,0,0,0,0,0,0,0,24.63,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.31,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0,0.1,0,4.85,0,0,0,0,2.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.52,0,0,0,0,0,0,0,0,0,0,0,0.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-07,0,2,0.95,0,6.32,0,37.42,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,13.07,0,0,0,0,0,0,0,0,0,0,19.78,0,5.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.82,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0,0.26,0,6.27,0,0,0,0,2.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22,0,0,0,0,0,0,0,0,0,0,0,0.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-08,0,2.05,0.96,0,7.61,0,33.84,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,12.28,0,0,0,0,0,0,0,0,0,0,16.05,0,11.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,0,0,0,0,0,0,0,0,0.36,0,7.16,0,0,0,0,2.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0,0,0,0,0.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-09,0,1.99,1,0,8.33,0,32.31,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,11.9,0,0,0,0,0,0,0,0,0,0,12.84,0,15.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,1.1,0,4.99,0,0,0,0,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.45,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-10,0,2.22,1.05,0,8.89,0,30.74,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,11.45,0,0,0,0,0,0,0,0,0,0,11.73,0,17.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0,0,0,0,0,0,0,0,1.53,0,0.49,0,0,0,0,1.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-11,0,2.1,1.04,0,9.54,0,30.17,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,11.15,0,0,0,0,0,0,0,0,0,0,10.63,0,17.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0,0,0,0,0,0,0,0,1.76,0,0.32,0,0,0,0,0.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0.58,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-12,0,2.53,1.05,0,9.97,0,29,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,10.62,0,0,0,0,0,0,0,0,0,0,9.22,0,18.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.84,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0,0,0,0,0,0,0,0,1.89,0,0.25,0,0,0,0,0.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.52,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,1.03,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01,0,3.22,1.46,0,10.5,0,27.71,0,1,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,10.04,0,0,0,0,0,0,0,0,0,0,7.48,0,19.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,1.65,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,1.89,0,0.23,0,0,0,0,0.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.55,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0.02,0,0,0,0,0,0,0.77,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-02,0,3.62,1.65,0.01,11.36,0,27.11,0,6.21,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,9.86,0,0,0,0,0,0,0,0,0,0,5.94,0,16.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0.07,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,1.47,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0,0,0,0,0,0,0,0,1.72,0,0.18,0,0,0,0,0.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.61,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0.02,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-03,0,4.78,1.87,0.01,12.06,0,25.64,0,11.76,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,9.63,0,0,0,0,0,0,0,0,0,0,5.33,0,10.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38,0,0,0,0,0.09,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,1.28,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,1.34,0,0.14,0,0,0,0,0.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.61,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0,0,0,0,0.01,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0.02,0,0,0,0,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-04,0,5.7,2,0.01,12.48,0,24.4,0,14.95,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,9.33,0,0,0,0,0,0,0,0,0,0,4.77,0,7.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.45,0,0,0,0,0.11,0,0,0.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,1.15,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0.71,0,0.13,0,0,0,0,0.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.61,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0.59,0,0,0,0,0.01,0,0.04,0,0,0,0,0,0,0,0,0,0,0.02,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0.02,0,0,0,0,0,0,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0
